x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
A1542,A1,A1,A1,A0,11.0,A0,A0,A0,A1,A1,A0,A3,104.05,A1
A1543,A0,A0,A0,A0,,A2,A1,A0,A0,A0,A0,A0,50.25,A0
A1544,A0,A0,A1,A1,69.0,A0,A2,A2,A2,A2,A1,A3,26.0,A0
A1545,A1,A0,A0,A0,1.0,A2,A1,A0,A0,A0,A0,A2,49.95,
A1546,A1,A1,A0,A0,26.0,A2,A0,A0,A0,A1,A0,A2,78.8,A0
A1547,A1,A0,A0,A1,12.0,A0,A0,A0,A1,A0,A0,A2,84.05,A0
,A1,A0,A1,A1,1.0,A2,A2,A2,A2,A2,A0,A2,19.25,A0
A1549,A0,A0,A1,A0,34.0,A0,A0,A0,A1,A1,A0,A2,100.85,A0
A1550,A1,A0,A0,A0,19.0,A2,A1,A0,A0,A1,A0,A2,56.2,A0
A1551,A0,A0,A0,A0,44.0,A0,A0,A1,A1,A1,A0,A2,111.5,A0
A1552,A0,A1,A0,A0,67.0,A0,A0,A0,A1,A1,A0,A1,101.4,
A1553,A1,A0,A1,A1,61.0,A0,A2,A2,A2,A2,A1,A0,24.1,
A1554,A1,A0,A1,A1,41.0,A2,A1,A0,A0,A1,A2,A3,66.5,A1
A1555,A0,A0,A0,A0,37.0,A2,A2,A2,A2,A2,A2,A1,20.15,A0
A1556,A1,A0,A0,A0,1.0,A2,A0,A0,A0,A0,A0,A2,69.2,A1
,A1,A0,A1,A0,68.0,A1,A1,A1,A1,A1,A2,A2,54.4,A0
A1558,A1,A0,A1,A0,70.0,A2,A2,A2,A2,A2,A1,A3,19.45,A0
A1559,A1,A0,A0,A0,13.0,A0,A0,A1,A1,A0,A0,A2,96.65,A1
A1560,A0,A0,A0,A0,9.0,A0,A0,A0,A1,A1,A0,A1,99.3,A0
A1561,A0,A0,A1,A1,62.0,A2,A2,A2,A2,A2,A1,A1,20.05,A0
A1562,A1,A0,A1,A1,47.0,A2,A1,A0,A0,A1,A1,A3,63.8,A0
A1563,A0,A1,A0,A0,19.0,A0,A0,A1,A1,A0,A0,A2,90.6,A1
A1564,A1,A0,A0,A0,13.0,A0,A0,A0,A0,A0,A0,A2,84.45,A1
A1565,A0,A0,A1,A0,46.0,A0,A0,A0,A1,A0,A2,A2,94.65,A0
A1566,A0,A0,A0,A0,36.0,A2,A1,A1,A1,A1,A0,A1,79.2,A0
A1567,A0,A0,A0,A0,5.0,A0,A0,A0,A1,A1,A0,A3,94.85,A1
A1568,A0,A0,A1,A1,39.0,A1,A1,A0,A0,A0,A2,A1,25.25,A0
,A1,A1,A0,A0,11.0,A0,A0,A0,A0,A1,A0,A1,84.8,A1
A1570,A0,A0,A0,A0,14.0,A2,A2,A2,A2,A2,A0,A0,19.9,A0
A1571,A1,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A3,19.25,A0
A1572,A0,A0,A1,A1,13.0,A2,A0,A0,A1,A1,A0,A0,96.65,A1
,A1,A0,A1,A1,15.0,A2,A2,A2,A2,A2,A2,A1,20.35,A0
A1574,A0,A0,A1,A0,47.0,A2,A2,A2,A2,A2,A1,A0,19.65,A0
,A1,A0,A1,A1,68.0,A0,A0,A0,A0,A0,A1,A1,84.4,A0
A1576,A1,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.5,A0
A1577,A0,A0,A1,A0,3.0,A2,A2,A2,A2,A2,A0,A1,20.55,A1
A1578,A0,A0,A0,A0,1.0,A2,A0,A0,A1,A1,A0,A2,89.9,A1
A1579,A0,A0,A0,A0,30.0,A2,A1,A1,A1,A0,A2,A2,70.4,A0
A1580,A0,A1,A1,A0,2.0,A2,A0,A0,A1,A1,A0,A1,95.5,A0
A1581,A1,A0,A1,A1,63.0,A2,A1,A1,A0,A0,A1,A3,50.65,A0
A1582,A1,A0,A0,A0,12.0,A0,A0,A0,A0,A1,A0,A2,86.55,A0
A1583,A1,A0,A0,A0,42.0,A2,A1,A1,A0,A0,A0,A3,59.65,A0
A1584,A1,A0,A0,A0,3.0,A2,A1,A1,A0,A0,A0,A2,55.35,A1
A1585,A0,A0,A0,A0,58.0,A0,A2,A2,A2,A2,A1,A1,24.45,A0
A1586,A0,A0,A0,A0,26.0,A2,A2,A2,A2,A2,A2,A0,19.4,A0
A1587,A1,A0,A1,A1,45.0,A2,A1,A0,A0,A0,A2,A1,54.15,
A1588,A1,A0,A0,A0,20.0,A2,A0,A1,A1,A0,A0,A3,89.4,A0
,A0,A1,A1,A0,40.0,A0,A0,A1,A1,A1,A0,A2,101.85,A1
A1590,A0,A0,A1,A0,64.0,A0,A1,A0,A1,A0,A1,A3,76.1,A0
A1591,A1,A0,A0,A0,2.0,A2,A1,A0,A0,A0,A0,A2,44.45,A0
A1592,A0,A1,A1,A1,65.0,A0,A0,A1,A0,A0,A0,A2,85.75,A0
A1593,A0,A0,A1,A0,72.0,A1,A1,A1,A0,A0,A1,A3,42.1,A0
A1594,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A3,19.65,A0
A1595,A0,A0,A1,A1,53.0,A2,A2,A2,A2,A2,A2,A1,20.2,A0
A1596,A1,A0,A1,A0,26.0,A2,A1,A0,A1,A1,A1,A1,73.5,A0
A1597,A0,A1,A1,A0,69.0,A0,A0,A0,A1,A1,A1,A3,108.4,A1
A1598,A1,A0,A1,A1,10.0,A0,A1,A1,A1,A0,A2,A2,70.3,A0
A1599,A1,A0,A1,A0,,A2,A1,A0,A0,A1,A0,A0,59.8,A0
A1600,A1,A0,A0,A0,2.0,A2,A0,A0,A0,A0,A0,A2,75.8,
A1601,A0,A0,A1,A0,50.0,A1,A1,A1,A1,A0,A2,A3,44.45,A0
A1602,A0,A0,A0,A1,56.0,A0,A2,A2,A2,A2,A1,A0,24.8,A0
A1603,A1,A0,A1,A1,,A2,A2,A2,A2,A2,A0,A3,19.05,A0
A1604,A1,A0,A0,A0,67.0,A0,A1,A1,A1,A1,A1,A0,85.25,A0
A1605,A1,A1,A1,A0,51.0,A0,A0,A1,A0,A0,A0,A2,77.5,A1
A1606,A0,A0,A1,A1,66.0,A0,A2,A2,A2,A2,A2,A1,25.7,A0
A1607,A1,A1,A0,A0,1.0,A0,A0,A0,A0,A0,A0,A2,72.1,A0
A1608,A0,A0,A0,A0,22.0,A2,A2,A2,A2,A2,A2,A1,20.3,A0
,A0,A1,A1,A0,1.0,A0,A0,A0,A1,A1,A0,A2,95.1,A1
A1610,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.75,A0
A1611,A0,A0,A0,A0,62.0,A0,A0,A1,A0,A1,A2,A3,92.3,
A1612,A0,A0,A1,A1,58.0,A0,A0,A0,A1,A0,A1,A3,82.5,A0
,A0,A0,A1,A0,27.0,A2,A1,A1,A0,A0,A2,A1,48.7,A0
A1614,A1,A0,A1,A0,6.0,A2,A2,A2,A2,A2,A0,A3,19.5,A1
A1615,A1,A0,A1,A1,39.0,A2,A2,A2,A2,A2,A1,A0,19.75,A0
A1616,A1,A0,A1,A0,68.0,A0,A0,A1,A0,A0,A1,A3,84.7,A0
A1617,A0,A1,A0,A0,55.0,A1,A1,A1,A1,A0,A0,A2,44.85,A0
A1618,A1,A0,A0,A1,1.0,A2,A1,A1,A0,A0,A0,A2,60.0,A1
A1619,A1,A0,A1,A0,65.0,A2,A1,A1,A0,A0,A1,A1,58.9,A0
A1620,A1,A0,A1,A1,56.0,A0,A2,A2,A2,A2,A1,A1,24.95,A0
A1621,A0,A0,A0,A0,2.0,A0,A0,A1,A0,A1,A0,A0,90.75,A0
A1622,A1,A0,A0,A0,70.0,A0,A0,A1,A1,A1,A1,A0,111.15,A0
A1623,A0,A1,A0,A0,55.0,A0,A0,A1,A1,A1,A0,A2,116.5,A0
A1624,A1,A0,A1,A0,72.0,A2,A2,A2,A2,A2,A1,A3,19.4,A0
A1625,A1,A0,A0,A0,1.0,A2,A1,A0,A1,A1,A2,A1,74.1,A0
A1626,A1,A0,A0,A0,27.0,A2,A1,A1,A0,A0,A0,A0,56.7,A0
A1627,A1,A1,A1,A0,4.0,A0,A0,A1,A1,A1,A0,A2,99.6,A1
A1628,A0,A0,A0,A0,62.0,A0,A1,A1,A0,A0,A1,A3,69.4,A0
A1629,A1,A0,A0,A0,3.0,A2,A0,A0,A0,A0,A0,A0,74.75,A0
A1630,A1,A1,A1,A0,27.0,A2,A0,A1,A0,A0,A0,A3,75.2,A1
A1631,A1,A0,A1,A1,67.0,A0,A2,A2,A2,A2,A1,A0,24.9,A0
A1632,A0,A0,A1,A0,30.0,A2,A2,A2,A2,A2,A2,A1,19.8,A0
A1633,A0,A0,A0,A0,5.0,A0,A0,A0,A1,A1,A0,A2,105.3,A0
A1634,A1,A0,A0,A0,37.0,A2,A1,A0,A1,A1,A0,A2,64.75,A1
A1635,A0,A1,A1,A0,4.0,A1,A1,A0,A0,A0,A0,A2,29.9,A0
A1636,A0,A0,A0,A1,23.0,A1,A1,A1,A0,A0,A1,A0,40.1,A0
,A1,A0,A1,A1,13.0,A2,A1,A0,A0,A1,A0,A2,55.95,A1
A1638,A0,A0,A0,A0,18.0,A0,A1,A1,A0,A0,A0,A0,56.25,A0
A1639,A1,A0,A1,A1,67.0,A1,A1,A0,A1,A1,A1,A2,59.55,A0
A1640,A0,A1,A1,A0,67.0,A0,A0,A0,A1,A1,A1,A3,102.9,A0
A1641,A0,A0,A1,A0,48.0,A0,A1,A0,A0,A1,A2,A1,70.55,A0
A1642,A0,A0,A1,A0,61.0,A1,A1,A1,A1,A1,A1,A0,62.15,A0
A1643,A0,A0,A1,A0,18.0,A0,A1,A0,A0,A0,A0,A1,56.8,A0
A1644,A0,A0,A1,A0,72.0,A2,A1,A1,A1,A1,A1,A0,84.45,A0
A1645,A0,A0,A1,A1,4.0,A2,A1,A0,A0,A1,A0,A1,61.45,
,A0,A0,A1,A1,60.0,A0,A2,A2,A2,A2,A2,A1,23.95,A0
A1647,A0,A0,A0,A0,23.0,A0,A0,A0,A0,A0,A0,A2,74.95,A1
A1648,A1,A0,A0,A0,1.0,A1,A1,A0,A1,A0,A0,A2,34.7,A1
A1649,A0,A0,A0,A1,39.0,A0,A0,A0,A1,A1,A1,A0,100.55,
A1650,A0,A0,A0,A0,19.0,A2,A2,A2,A2,A2,A1,A0,19.95,A0
A1651,A1,A0,A0,A0,7.0,A2,A0,A0,A1,A0,A0,A2,79.0,A1
,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.4,A1
A1653,A0,A0,A0,A1,18.0,A2,A1,A0,A0,A0,A0,A1,45.65,A0
A1654,A1,A0,A0,A0,2.0,A2,A2,A2,A2,A2,A0,A0,20.3,A0
,A1,A0,A1,A0,20.0,A2,A2,A2,A2,A2,A2,A0,20.0,A0
A1656,A1,A1,A0,A0,1.0,A2,A0,A0,A1,A0,A0,A2,79.2,A1
A1657,A0,A0,A0,A0,72.0,A2,A2,A2,A2,A2,A1,A0,20.8,A0
A1658,A1,A0,A0,A0,3.0,A0,A0,A0,A0,A0,A0,A2,76.1,A0
A1659,A0,A1,A1,A0,29.0,A0,A0,A0,A1,A1,A0,A2,94.45,A1
A1660,A0,A0,A1,A0,3.0,A1,A1,A1,A0,A0,A0,A0,35.1,A0
A1661,A0,A0,A0,A0,1.0,A2,A0,A0,A0,A1,A0,A0,80.85,
A1662,A1,A0,A0,A1,21.0,A2,A2,A2,A2,A2,A0,A0,20.75,A0
A1663,A0,A1,A0,A0,5.0,A2,A1,A0,A0,A0,A0,A2,50.35,A1
A1664,A1,A0,A1,A1,7.0,A2,A2,A2,A2,A2,A2,A0,20.65,A0
A1665,A1,A0,A0,A0,3.0,A1,A1,A0,A0,A0,A0,A0,29.2,A0
A1666,A1,A0,A0,A0,13.0,A1,A1,A0,A1,A1,A0,A2,49.15,A0
A1667,A1,A0,A1,A1,69.0,A0,A0,A0,A1,A1,A0,A2,103.95,A1
A1668,A1,A0,A1,A1,55.0,A2,A2,A2,A2,A2,A1,A0,21.0,A0
A1669,A1,A0,A0,A0,1.0,A1,A1,A0,A0,A0,A0,A0,25.1,A1
A1670,A0,A0,A1,A1,72.0,A0,A0,A1,A1,A1,A1,A1,112.6,A0
A1671,A1,A0,A1,A1,1.0,A2,A2,A2,A2,A2,A0,A1,20.15,A1
A1672,A0,A0,A0,A0,13.0,A2,A0,A0,A0,A0,A0,A2,70.15,A0
A1673,A0,A0,A0,A0,21.0,A2,A1,A0,A0,A1,A0,A0,61.65,A0
A1674,A0,A0,A1,A1,28.0,A2,A0,A0,A1,A0,A2,A3,92.9,A0
A1675,A1,A0,A1,A0,51.0,A0,A1,A0,A1,A1,A2,A1,78.65,A0
A1676,A1,A0,A1,A1,51.0,A0,A0,A0,A0,A0,A0,A2,80.75,A0
A1677,A1,A1,A1,A1,66.0,A0,A0,A1,A1,A1,A2,A1,110.6,A0
A1678,A1,A1,A0,A0,40.0,A0,A0,A0,A1,A1,A2,A1,103.75,A0
A1679,A1,A0,A1,A1,5.0,A2,A0,A0,A1,A0,A0,A2,80.85,A0
A1680,A0,A0,A0,A0,24.0,A2,A0,A0,A1,A1,A0,A2,90.35,A1
A1681,A0,A0,A0,A1,40.0,A1,A1,A1,A0,A0,A2,A0,40.25,A0
A1682,A1,A1,A0,A0,57.0,A1,A1,A0,A1,A1,A0,A2,55.0,A0
A1683,A0,A0,A0,A0,10.0,A2,A0,A0,A1,A1,A0,A1,95.1,A0
A1684,A1,A0,A0,A1,2.0,A2,A2,A2,A2,A2,A2,A3,20.5,A0
A1685,A1,A0,A0,A0,3.0,A0,A0,A0,A0,A0,A0,A2,75.5,A1
A1686,A1,A0,A0,A0,2.0,A2,A0,A0,A0,A0,A0,A2,70.95,A1
A1687,A0,A0,A0,A1,2.0,A2,A1,A0,A0,A1,A0,A2,55.3,A0
A1688,A1,A0,A0,A0,19.0,A2,A2,A2,A2,A2,A2,A1,20.25,A0
A1689,A0,A0,A0,A0,3.0,A0,A1,A0,A0,A0,A0,A3,50.4,A0
A1690,A0,A0,A1,A0,71.0,A0,A0,A0,A1,A1,A2,A3,105.7,A0
A1691,A0,A1,A0,A0,31.0,A0,A0,A0,A1,A0,A0,A3,96.6,A0
A1692,A1,A1,A1,A0,58.0,A2,A0,A1,A1,A1,A2,A1,105.5,
A1693,A1,A0,A0,A0,10.0,A0,A0,A0,A0,A1,A0,A2,94.85,A1
A1694,A0,A1,A1,A0,59.0,A0,A0,A0,A1,A1,A0,A3,93.85,A1
A1695,A0,A0,A1,A0,72.0,A0,A1,A1,A0,A0,A1,A3,67.8,A0
A1696,A1,A0,A1,A0,54.0,A2,A2,A2,A2,A2,A1,A1,20.05,A0
,A0,A0,A0,A0,1.0,A0,A1,A0,A1,A0,A0,A2,59.85,A1
A1698,A0,A0,A1,A1,13.0,A0,A1,A0,A1,A0,A0,A2,72.8,A0
A1699,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,18.9,A0
A1700,A1,A0,A1,A1,71.0,A0,A0,A1,A1,A1,A1,A3,109.0,A0
A1701,A1,A0,A1,A1,3.0,A1,A1,A0,A0,A0,A0,A0,31.0,A1
A1702,A0,A1,A0,A0,1.0,A0,A0,A0,A1,A1,A0,A2,93.55,A1
A1703,A0,A0,A1,A1,8.0,A2,A2,A2,A2,A2,A1,A0,19.7,A0
A1704,A0,A0,A0,A0,65.0,A0,A1,A0,A0,A1,A1,A1,74.2,A0
A1705,A0,A0,A0,A0,28.0,A1,A1,A0,A0,A0,A0,A1,30.1,A0
A1706,A0,A0,A0,A0,35.0,A0,A1,A1,A0,A0,A1,A0,55.25,A0
A1707,A1,A1,A1,A1,59.0,A0,A0,A0,A0,A1,A0,A1,88.75,A0
,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.8,A1
A1709,A1,A0,A0,A0,33.0,A0,A0,A1,A0,A1,A0,A2,90.65,A0
A1710,A1,A0,A0,A1,48.0,A2,A0,A0,A1,A0,A1,A0,95.5,A1
A1711,A1,A0,A0,A0,61.0,A0,A0,A0,A1,A1,A2,A2,103.95,A0
A1712,A1,A0,A1,A1,49.0,A0,A0,A0,A1,A1,A0,A2,95.6,A1
,A1,A0,A1,A1,71.0,A0,A0,A1,A1,A1,A1,A3,114.6,A0
A1714,A1,A0,A1,A0,6.0,A2,A1,A0,A0,A0,A0,A2,49.15,A1
A1715,A0,A0,A1,A0,61.0,A0,A0,A0,A1,A1,A0,A2,105.55,A1
A1716,A0,A0,A0,A0,12.0,A0,A1,A1,A0,A0,A0,A2,67.25,A0
A1717,A0,A0,A0,A0,5.0,A0,A0,A0,A0,A0,A0,A2,85.3,A1
A1718,A1,A0,A1,A0,2.0,A2,A1,A0,A1,A1,A0,A1,69.0,A0
A1719,A1,A0,A0,A0,26.0,A0,A0,A0,A1,A1,A0,A3,100.5,
A1720,A0,A0,A0,A1,56.0,A2,A2,A2,A2,A2,A2,A0,21.2,A0
A1721,A0,A0,A0,A0,7.0,A0,A0,A0,A1,A1,A0,A2,99.8,A1
A1722,A1,A0,A1,A1,53.0,A0,A0,A1,A0,A1,A1,A3,104.05,A0
A1723,A0,A0,A0,A0,9.0,A2,A1,A0,A0,A0,A0,A0,44.95,A1
A1724,A1,A0,A0,A0,22.0,A2,A2,A2,A2,A2,A2,A3,20.85,A0
A1725,A1,A0,A1,A1,11.0,A2,A2,A2,A2,A2,A0,A0,19.25,A1
A1726,A0,A1,A1,A0,11.0,A2,A2,A2,A2,A2,A0,A0,19.95,A1
A1727,A1,A0,A1,A1,72.0,A0,A0,A1,A0,A1,A1,A1,107.45,A0
A1728,A1,A0,A1,A0,49.0,A0,A0,A1,A1,A1,A0,A0,100.85,
A1729,A1,A0,A1,A0,2.0,A2,A0,A0,A0,A0,A0,A3,79.7,A1
,A0,A0,A0,A0,23.0,A2,A0,A0,A1,A1,A0,A0,95.3,A0
A1731,A1,A0,A0,A0,1.0,A2,A0,A0,A0,A0,A0,A0,70.9,A1
A1732,A0,A1,A1,A0,27.0,A1,A1,A0,A0,A1,A0,A3,36.5,A1
A1733,A1,A0,A0,A0,12.0,A2,A2,A2,A2,A2,A0,A0,20.3,A0
A1734,A1,A0,A1,A1,34.0,A0,A2,A2,A2,A2,A1,A1,24.95,A0
A1735,A0,A0,A1,A0,70.0,A0,A0,A1,A1,A1,A1,A1,114.3,A0
A1736,A1,A0,A1,A1,72.0,A0,A0,A0,A1,A1,A2,A1,103.2,A0
A1737,A1,A0,A1,A0,53.0,A2,A0,A0,A1,A1,A2,A3,94.85,A1
A1738,A0,A0,A1,A1,44.0,A1,A1,A1,A0,A1,A1,A1,54.05,A0
A1739,A0,A0,A1,A0,66.0,A0,A0,A0,A0,A1,A2,A2,95.3,A0
A1740,A0,A0,A0,A0,1.0,A2,A0,A0,A0,A0,A0,A2,69.1,A1
A1741,A0,A0,A0,A0,1.0,A2,A1,A0,A1,A1,A0,A0,62.8,A0
A1742,A1,A0,A1,A1,55.0,A2,A2,A2,A2,A2,A2,A1,19.15,A0
A1743,A0,A0,A1,A0,4.0,A2,A0,A0,A0,A0,A0,A0,80.6,A1
A1744,A0,A0,A1,A1,63.0,A0,A1,A1,A0,A1,A1,A0,75.7,A0
A1745,A0,A0,A0,A0,12.0,A0,A0,A0,A1,A0,A0,A2,84.45,A1
A1746,A0,A0,A1,A0,22.0,A2,A1,A1,A0,A0,A2,A1,56.25,A0
A1747,A1,A0,A1,A1,,A2,A1,A1,A1,A1,A1,A0,84.75,A0
A1748,A1,A0,A1,A0,68.0,A2,A1,A1,A1,A1,A1,A3,79.6,A0
A1749,A0,A0,A0,A1,57.0,A0,A1,A1,A1,A1,A1,A0,89.55,A0
A1750,A1,A0,A1,A1,48.0,A2,A1,A1,A1,A0,A2,A3,69.7,
A1751,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A2,19.45,A0
A1752,A0,A0,A1,A1,64.0,A0,A0,A1,A0,A1,A1,A3,93.4,A0
A1753,A0,A1,A0,A0,6.0,A2,A0,A0,A1,A0,A0,A2,79.7,A0
A1754,A0,A0,A1,A0,48.0,A2,A2,A2,A2,A2,A1,A0,20.05,A0
A1755,A0,A0,A1,A0,70.0,A0,A1,A0,A1,A0,A1,A3,72.95,A0
,A0,A0,A1,A1,13.0,A2,A1,A0,A0,A0,A0,A3,61.8,A0
A1757,A1,A0,A0,A0,3.0,A0,A0,A0,A0,A0,A0,A2,74.25,A1
A1758,A0,A0,A0,A0,11.0,A2,A2,A2,A2,A2,A0,A0,20.25,A0
A1759,A1,A0,A0,A0,55.0,A0,A0,A1,A0,A0,A2,A1,84.25,A0
A1760,A0,A0,A1,A0,53.0,A0,A0,A1,A0,A1,A0,A2,93.9,
A1761,A0,A0,A1,A0,45.0,A0,A0,A1,A0,A0,A0,A0,84.55,A0
A1762,A1,A0,A0,A0,60.0,A2,A2,A2,A2,A2,A1,A0,20.6,A0
A1763,A1,A0,A1,A0,52.0,A0,A0,A0,A1,A0,A0,A3,94.6,A0
A1764,A0,A0,A1,A0,72.0,A0,A1,A1,A1,A1,A1,A1,86.65,A0
A1765,A0,A1,A1,A0,55.0,A0,A1,A1,A0,A0,A2,A1,60.0,A0
A1766,A0,A0,A0,A0,12.0,A2,A0,A0,A1,A0,A0,A2,81.45,A0
A1767,A1,A1,A0,A0,8.0,A2,A0,A0,A0,A0,A0,A3,74.05,A0
A1768,A1,A0,A1,A0,25.0,A0,A2,A2,A2,A2,A2,A0,26.8,A0
A1769,A0,A1,A0,A0,37.0,A1,A1,A0,A0,A0,A0,A2,36.65,A0
A1770,A1,A0,A0,A0,23.0,A0,A0,A1,A1,A0,A0,A3,90.05,A1
A1771,A1,A0,A1,A0,9.0,A1,A1,A0,A1,A1,A0,A2,48.75,A1
A1772,A0,A1,A1,A1,41.0,A0,A0,A0,A1,A1,A2,A2,111.95,A1
A1773,A1,A0,A0,A0,4.0,A2,A1,A1,A0,A0,A0,A0,60.4,A1
A1774,A1,A0,A0,A0,8.0,A2,A2,A2,A2,A2,A1,A0,20.0,A0
A1775,A0,A0,A1,A0,63.0,A0,A0,A0,A1,A1,A0,A2,102.4,A0
A1776,A1,A0,A1,A1,17.0,A2,A0,A1,A1,A0,A0,A2,91.85,A1
A1777,A1,A0,A0,A0,3.0,A2,A0,A0,A0,A0,A0,A3,69.55,A1
A1778,A0,A0,A1,A0,72.0,A0,A1,A0,A1,A1,A1,A3,82.15,A0
A1779,A0,A0,A0,A0,22.0,A2,A0,A0,A0,A0,A0,A0,69.7,A0
A1780,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A3,20.05,
A1781,A1,A1,A0,A0,2.0,A2,A1,A1,A0,A0,A0,A0,54.85,A1
A1782,A1,A0,A1,A1,72.0,A0,A1,A1,A1,A1,A1,A3,84.2,A0
A1783,A1,A0,A1,A1,21.0,A2,A1,A0,A1,A0,A2,A1,58.85,A0
A1784,A0,A0,A0,A0,1.0,A0,A0,A0,A0,A0,A0,A2,74.9,A1
A1785,A1,A0,A0,A0,19.0,A0,A1,A0,A0,A0,A0,A0,56.1,A0
,A1,A0,A1,A0,43.0,A0,A0,A0,A0,A0,A0,A2,80.45,A0
A1787,A1,A0,A1,A0,63.0,A0,A0,A0,A1,A1,A1,A3,109.25,A0
,A1,A0,A0,A0,40.0,A2,A2,A2,A2,A2,A1,A0,20.15,A0
A1789,A0,A0,A0,A0,11.0,A2,A1,A0,A0,A0,A0,A1,45.2,A0
A1790,A1,A0,A0,A1,51.0,A1,A1,A1,A1,A1,A2,A3,60.15,A0
A1791,A0,A0,A1,A1,49.0,A0,A0,A0,A1,A1,A2,A2,97.95,
A1792,A0,A0,A0,A0,,A2,A2,A2,A2,A2,A1,A0,20.45,A0
A1793,A1,A1,A0,A0,3.0,A2,A0,A0,A1,A0,A0,A2,86.85,A1
A1794,A0,A0,A0,A0,72.0,A1,A1,A1,A1,A1,A1,A3,63.7,A0
A1795,A0,A0,A0,A0,13.0,A2,A1,A0,A0,A0,A0,A0,50.55,A0
A1796,A0,A0,A0,A0,58.0,A2,A2,A2,A2,A2,A1,A0,20.8,A0
A1797,A1,A0,A1,A1,38.0,A2,A1,A1,A0,A0,A0,A2,54.5,A0
A1798,A1,A0,A0,A0,3.0,A2,A1,A0,A1,A1,A2,A2,69.95,A0
A1799,A1,A0,A1,A0,65.0,A0,A0,A1,A1,A0,A2,A3,100.15,A0
A1800,A0,A0,A0,A0,28.0,A0,A0,A0,A1,A1,A2,A2,100.2,A0
A1801,A0,A0,A1,A0,71.0,A0,A1,A1,A1,A1,A1,A2,83.2,
A1802,A0,A0,A0,A0,4.0,A2,A1,A1,A0,A0,A0,A2,56.75,A0
A1803,A1,A1,A0,A0,63.0,A0,A1,A1,A1,A0,A2,A3,83.0,A0
A1804,A1,A1,A1,A0,60.0,A0,A0,A0,A0,A1,A0,A2,89.45,A0
A1805,A1,A0,A0,A0,12.0,A2,A2,A2,A2,A2,A0,A0,19.45,A0
A1806,A1,A0,A0,A0,19.0,A2,A0,A1,A1,A1,A0,A2,106.6,A1
A1807,A0,A0,A0,A0,5.0,A2,A2,A2,A2,A2,A0,A0,21.05,A1
A1808,A1,A0,A0,A0,3.0,A1,A1,A0,A1,A1,A0,A2,50.6,A1
A1809,A0,A0,A1,A0,13.0,A0,A1,A1,A0,A1,A0,A2,65.85,A0
,A1,A0,A0,A0,8.0,A0,A1,A1,A0,A1,A0,A2,71.15,A1
,A1,A0,A0,A0,28.0,A2,A1,A1,A0,A0,A0,A2,56.05,A0
A1812,A0,A0,A0,A0,46.0,A1,A1,A1,A1,A1,A1,A3,60.75,A0
A1813,A1,A1,A0,A0,15.0,A0,A0,A0,A0,A0,A0,A0,74.45,A1
A1814,A1,A0,A0,A1,19.0,A0,A1,A1,A1,A0,A0,A0,75.9,A0
A1815,A0,A0,A1,A1,53.0,A0,A1,A1,A0,A1,A1,A3,69.7,A0
A1816,A0,A1,A1,A0,27.0,A0,A0,A0,A0,A1,A0,A2,95.55,A1
A1817,A0,A0,A0,A0,26.0,A2,A1,A0,A0,A0,A0,A2,45.45,A0
A1818,A0,A0,A0,A1,5.0,A2,A1,A0,A0,A0,A0,A3,48.65,A0
A1819,A0,A0,A0,A0,1.0,A1,A1,A0,A0,A1,A0,A2,35.9,A1
A1820,A0,A0,A1,A0,34.0,A2,A2,A2,A2,A2,A1,A1,20.05,A0
A1821,A1,A1,A0,A0,27.0,A0,A0,A0,A0,A0,A0,A2,78.05,A1
A1822,A1,A0,A0,A0,28.0,A1,A1,A0,A0,A0,A0,A0,35.75,A0
A1823,A1,A0,A0,A0,32.0,A1,A1,A1,A0,A0,A2,A0,30.15,A0
A1824,A1,A0,A0,A0,1.0,A1,A1,A0,A0,A0,A0,A0,35.9,A0
A1825,A0,A0,A1,A1,62.0,A2,A0,A1,A0,A0,A2,A1,81.45,
A1826,A1,A0,A0,A1,1.0,A2,A0,A0,A0,A1,A0,A2,78.65,A1
,A1,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.1,A0
A1828,A1,A1,A0,A0,56.0,A0,A0,A1,A0,A1,A0,A2,96.85,A0
A1829,A0,A0,A0,A0,12.0,A0,A0,A0,A1,A1,A0,A0,99.95,A1
A1830,A1,A0,A0,A0,3.0,A0,A0,A0,A0,A0,A0,A2,75.8,A1
A1831,A0,A0,A1,A0,61.0,A2,A0,A0,A0,A1,A0,A1,94.15,
A1832,A0,A0,A1,A0,69.0,A2,A1,A1,A1,A1,A1,A0,84.7,A0
,A1,A0,A1,A0,46.0,A0,A0,A0,A1,A1,A2,A2,103.15,A0
A1834,A1,A0,A0,A0,16.0,A0,A1,A0,A0,A1,A0,A1,65.2,A1
